company_name,website,company_profile_url,city,country,services,description,source_name
resilience,,https://sa.linkedin.com/company/resilience-sa,Riyadh,Saudi Arabia,IT & Software,"‏Saudi Cybersecurity Company | From the capital of Saudi Arabia, Riyadh. Resilience was established in 2019, with the commitment to lead the cybersecurity ...",LinkedIn (via Google)
ICM Software House,,https://sa.linkedin.com/company/icm-software-house,Riyadh,Saudi Arabia,IT & Software,... software development companies in Middle East and Europe since 1997.‏ ... SAMI Advanced Electronics. تصنيع الأجهزة المنزلية والكهربائية والإلكترونية. ‏Riyadh‏، ‏ ...Read more,LinkedIn (via Google)
Software Development EST,,https://www.linkedin.com/company/software-development-est,Riyadh,Saudi Arabia,IT & Software,"Software Development EST. IT Services and IT Consulting. Riyadh, Riyadh 157 followers. Follow.Read more",LinkedIn (via Google)
asgatech,,https://www.linkedin.com/company/asgatech/?trk=products_details_guest_organization_page,Riyadh,Saudi Arabia,IT & Software,"Riyadh, Saudi Arabia 13241, SA. Get directions. DSO-THUB-G-D-FLEX-G128- THUB ... Software Development. Saudi Arabia, Riyadh. EJADA. IT Services and IT ...Read more",LinkedIn (via Google)
MOZN,,https://www.linkedin.com/company/mozn,Riyadh,Saudi Arabia,IT & Software,"MOZN. Software Development. Al Qirawan, Riyadh 115,067 followers. A leading enterprise AI company enabling organizations to make informed ...Read more",LinkedIn (via Google)
Dafater,,https://www.linkedin.com/company/dafater,Riyadh,Saudi Arabia,IT & Software,"Software Development. Riyadh, Riyadh Province 14,053 followers. The ... Riyadh, Saudi Arabia. Foodics. IT Services and IT Consulting. Riyadh, Kingdom ...Read more",LinkedIn (via Google)
Enseyab Information Technology,,https://www.linkedin.com/company/enseyab,Riyadh,Saudi Arabia,IT & Software,"Software Development. alahsa, Kingdom of Saudi Arabia - Eastern Region ... Enseyab Information Technology, Riyadh, Riyadh, Saudi Arabia · 5 3 Comments.Read more",LinkedIn (via Google)
Master Works,,https://www.linkedin.com/company/master-works/?trk=products_details_guest_organization_page,Riyadh,Saudi Arabia,IT & Software,"... software development, and many more in house products ... Riyadh, Riyadh 6319, SA. Get directions. شارع الحسين متفرع من شارع ...Read more",LinkedIn (via Google)
DAU,,https://www.linkedin.com/company/dau-sa,Riyadh,Saudi Arabia,IT & Software,"DAU. Software Development. Tailored to suit your business. Follow · Report this ... Saudi Arabia, Riyadh. عزمية. Food and Beverage Services. أسفار | ASFAR.Read more",LinkedIn (via Google)
Saudi Information Technology Network,,https://www.linkedin.com/company/saudi-information-technology-network,Riyadh,Saudi Arabia,IT & Software,"... Saudi Arabia. We specialize in owning, developing, and operating ... Riyadh, Riyadh. INFOFIX IT SOLUTIONS. IT Services and IT Consulting. Riyadh, Ar ...Read more",LinkedIn (via Google)
TeleNoc,,https://sa.linkedin.com/company/telenoc,Riyadh,Saudi Arabia,IT & Software,"Headquarters: Riyadh, Saudi Arabia www.telenocgroup.com. الموقع ... At TeleNoc, we deliver end to end Managed IT Services that help organizations ...Read more",LinkedIn (via Google)
ITA (IT Associates) شركة التقنية المساندة,,https://be.linkedin.com/company/it-associates-ksa,Riyadh,Saudi Arabia,IT & Software,"With the rapid digital shift in Saudi Arabia, Digital Employee Empowerment has become the new benchmark for success. ... IT services that never blink.Read more",LinkedIn (via Google)
Saudi Digitalization ICT,,https://www.linkedin.com/company/saudi-digitalization-ict,Riyadh,Saudi Arabia,IT & Software,"IT Services and IT Consulting. Company size: 11-50 employees. Headquarters: Riyadh, Riyadh. Type: Privately Held. Founded: 2018. Specialties: information ...Read more",LinkedIn (via Google)
ITBuilders,,https://sa.linkedin.com/company/itbuildersksa,Riyadh,Saudi Arabia,IT & Software,"رئيسي. Wadi AlJarir ST, Sultana Building 3701, 1ST floor, office 35, Olaya Computer Market, Riyadh 12211, Saudi arabia. ‏Riyadh‏، ‏SA‏. احصل على اتجاهات السير.Read more",LinkedIn (via Google)
All IT Solution's,,https://www.linkedin.com/company/all-it-solutions-ksa,Riyadh,Saudi Arabia,IT & Software,"Al Yasmin District, Riyadh · HEIGHTS Company. Events Services. Saudi Arabia, Riyadh · Realistic Solutions Ltd. IT Services and IT Consulting. Show more similar ...Read more",LinkedIn (via Google)
IT Security Training & Solutions,,https://www.linkedin.com/company/it-security-training-&-solutions-i-ts-2/,Riyadh,Saudi Arabia,IT & Software,"IT Services and IT Consulting. Company size: 51-200 employees. Headquarters: Riyadh, Riyadh. Type: Privately Held. Founded: 2003. Specialties: Educational ...Read more",LinkedIn (via Google)
Saudi National Committee for Artificial Intelligence (SNCAI),,https://www.linkedin.com/company/saudi-national-committee-for-artificial-intelligence-sncai,Riyadh,Saudi Arabia,IT & Software,"Saudi National Committee for Artificial Intelligence (SNCAI) | 239 followers on LinkedIn ... KPMG Saudi Arabia. Business Consulting and Services. Riyadh, Riyadh ...Read more",LinkedIn (via Google)
‏Artificial Intelligence Global Company‏,,https://sa.linkedin.com/company/aiglobalco,Riyadh,Saudi Arabia,IT & Software,مشاهدة صفحة منظمة ‏Saudi Arabia Smart Grid Conference‏. Saudi Arabia Smart ... stc. اتصالات. ‏Riyadh‏، ‏Riyadh‏. عرض المزيد من الصفحات المشابهة عرض أقل من ...Read more,LinkedIn (via Google)
SCAI,,https://www.linkedin.com/company/scai-sa,Riyadh,Saudi Arabia,IT & Software,"SCAI | سكاي. IT Services and IT Consulting. Hiteen District, Riyadh 67,604 followers. Saudi Company for Artificial Intelligence الشركة السعودية للذكاء الاصطناعي.Read more",LinkedIn (via Google)
Saudi Arabia Management Artificial Intelligence Leadership,,https://www.linkedin.com/company/saudi-arabia-management-artificial-intelligence-leadership,Riyadh,Saudi Arabia,IT & Software,"Saudi Arabia Management Artificial Intelligence Leadership. Business Consulting and Services. Riyadh, Riyadh 2,180 followers. Global Leadership from Riyadh for ...Read more",LinkedIn (via Google)
Artificial Intelligence Global Company,,https://in.linkedin.com/company/aiglobalco?trk=ppro_cprof,Riyadh,Saudi Arabia,IT & Software,"View organization page for Saudi Arabia Smart Grid Conference. Saudi ... Riyadh, Riyadh. Show more similar pages. Show fewer similar pages. Browse jobs ...Read more",LinkedIn (via Google)
AI Pioneers,,https://sa.linkedin.com/company/aipcsa,Riyadh,Saudi Arabia,IT & Software,Saudi Arabia. النوع: غير ربحي. تم التأسيس: 2025. التخصصات: ‏Artificial ... ‏Riyadh‏، ‏Riyadh‏. أكاديمية رُوّاد | Rowad Academy. مقدمو التعليم الإلكتروني ...Read more,LinkedIn (via Google)
Intelligent Decisions,,https://sa.linkedin.com/company/idt-ksa,Riyadh,Saudi Arabia,IT & Software,"... Artificial Intelligence (AI), Data and Digital in the largest regional ... We're #hiring a new Health care Data Analyst in Riyadh, Riyadh. Apply today ...Read more",LinkedIn (via Google)
AI Center of Advanced Studies,,https://sa.linkedin.com/company/thakaa,Riyadh,Saudi Arabia,IT & Software,"... Artificial Intelligence Center of Advanced Studies (AICAS) at King ... ‏Riyadh‏، ‏An Nakhil, Riyadh‏. شركة علم. الخدمات والاستشارات في مجال تكنولوجيا ...Read more",LinkedIn (via Google)
Bayan (Data science & Artificial intelligence),,https://www.linkedin.com/company/bayandata,Riyadh,Saudi Arabia,IT & Software,"Bayan (Data science & Artificial intelligence). IT Services and IT Consulting. Riyadh, Riyadh 12,343 followers. We empower organizations to drive growth through ...Read more",LinkedIn (via Google)
Takween AI,,https://sa.linkedin.com/company/takween-ai,Riyadh,Saudi Arabia,IT & Software,... artificial intelligence across the Kingdom's industrial and economic ... ‏Riyadh‏، ‏Riyadh‏. ASAS for Developing & Operating industrial Cities. خدمات ...Read more,LinkedIn (via Google)
Saudi Med AI Lab (SMAIL),,https://sa.linkedin.com/company/saudi-medical-ai-lab,Riyadh,Saudi Arabia,IT & Software,... Saudi Arabia highlighting where our students come from * Updated list of ... ‏Riyadh‏، ‏Riyadh‏. KAUST Academy. التعليم. ‏Thawal‏، ‏Makkah‏. King Abdullah ...Read more,LinkedIn (via Google)
A.I Club,,https://www.linkedin.com/company/ai-club-psu,Riyadh,Saudi Arabia,IT & Software,"... artificial intelligence. As Saudi Arabia and the world are setting their ... Riyadh. Type: Public Company. Founded: 2022. Locations. Primary. 22222. Riyadh, SA.Read more",LinkedIn (via Google)
AINA,,https://www.linkedin.com/company/aina-sa,Riyadh,Saudi Arabia,IT & Software,"Mission: To accelerate the growth and adoption of artificial intelligence in Saudi Arabia by cultivating a robust and collaborative ecosystem. ... Riyadh, Al Wadi ...Read more",LinkedIn (via Google)
Ai966,,https://sa.linkedin.com/company/ai966,Riyadh,Saudi Arabia,IT & Software,is pioneering the future of artificial intelligence in the Kingdom of Saudi Arabia ... ‏Riyadh ‏، ‏Riyadh ‏ · HugoBank. الأعمال المصرفية. ‏Karachi‏، ‏Sindh ...Read more,LinkedIn (via Google)
AiElements,,https://sa.linkedin.com/company/aielements,Riyadh,Saudi Arabia,IT & Software,"From Data to Artificial Intelligence. متابعة · الإبلاغ عن هذه الشركة; إغلاق ... 8484 Uthman Ibn Affan Rd, Riyadh - Saudi Arabia. ‏Riyadh‏، ‏Riyadh‏، ‏SA ...Read more",LinkedIn (via Google)
FusionAI,,https://sa.linkedin.com/company/fusionai-sa,Riyadh,Saudi Arabia,IT & Software,الخدمات والاستشارات في مجال تكنولوجيا المعلومات. ‏Riyadh‏، ‏Riyadh‏ ‏١٬٣٥٧‏ ‏متابع‏ ... Saudi Arabia. As Cloud and AI Infrastructure Architect at FusionAI ...Read more,LinkedIn (via Google)
Aip,,https://sa.linkedin.com/company/saudiaip,Riyadh,Saudi Arabia,IT & Software,"‏Riyadh‏, ‏Riyadh‏. النوع: شركة عامة. تم التأسيس: 2019. المواقع الجغرافية. رئيسي. طريق عثمان بن عفان. ‏Riyadh‏، ‏Riyadh‏ ‏13317‏، ‏SA‏. احصل على اتجاهات السير ...Read more",LinkedIn (via Google)
Aurora AI,,https://sa.linkedin.com/company/auroraaisa,Riyadh,Saudi Arabia,IT & Software,"‏Riyadh‏, ‏Saudi Arabia‏. النوع: شراكة. تم التأسيس: 2026. التخصصات: ‏Artificial Intelligence‏. المواقع الجغرافية. رئيسي. Al Narjis Street. First floor, Office ...Read more",LinkedIn (via Google)
Wakeb_Data,,https://www.linkedin.com/company/wakeb-data,Riyadh,Saudi Arabia,IT & Software,"Wakeb_Data. IT Services and IT Consulting. Riyadh, Riyadh 73,442 followers. Business Intelligence (BI), Data Analysis, Artificial Intelligence ...Read more",LinkedIn (via Google)
ETHAI,,https://www.linkedin.com/company/e-t-h-a-i-%D8%A5%D9%8A%D9%80%D9%80%D8%AB%D9%80%D8%A7%D9%8A,Riyadh,Saudi Arabia,IT & Software,"... Artificial Intelligence. It was founded to be a trusted partner for ... Riyadh, Saudi Arabia. T2. Technology, Information and Internet. Riyadh, Riyadh ...Read more",LinkedIn (via Google)
Techgropse SA,,https://www.linkedin.com/company/techgropse-saudiarabia,Riyadh,Saudi Arabia,IT & Software,"TechGropse is a leading Mobile app and web development company in Saudi Arabia ... Locations. Primary. Al Aziziyah, Riyadh, Saudi Arabia. Riyadh, Riyadh 14514, SA.Read more",LinkedIn (via Google)
Interactive Saudi Arabia,,https://ie.linkedin.com/company/interactive-saudi-arabia-ltd?trk=similar-pages_result-card_full-click,Riyadh,Saudi Arabia,IT & Software,"Our services include: - Internet and intranet portals implementation - Mobile app ... Riyadh , Saudi arabia · Elm Company. IT Services and IT Consulting. Riyadh ...Read more",LinkedIn (via Google)
Fixt mobile App,,https://www.linkedin.com/company/fixt-mobile,Riyadh,Saudi Arabia,IT & Software,Fixt mobile App | 11 followers on LinkedIn. 100% customer satisfaction guarantee | Fixt is a unique membership service for motorists.,LinkedIn (via Google)
UXBERT Labs,,https://www.linkedin.com/company/uxbert,Riyadh,Saudi Arabia,IT & Software,"User Experience, Usability, Ecommerce, Web & Mobile App Design ... Managing Director/Venture Development Lead. UXBERT Labs, Riyadh, Riyadh, Saudi Arabia.Read more",LinkedIn (via Google)
Payway,,https://sa.linkedin.com/company/paywayapp,Riyadh,Saudi Arabia,IT & Software,"Payway‏ | ‏١٧٠‏ من المتابعين على LinkedIn. ‏Payway is a pioneering fintech company based in Riyadh, Saudi Arabia ... mobile app, we enable users to access ...",LinkedIn (via Google)
Loan Financing,,https://cm.linkedin.com/company/loan-app?trk=public_profile_experience-item_profile-section-card_subtitle-click,Riyadh,Saudi Arabia,IT & Software,... mobile app. The company relies on the latest ... We strive to be the first choice for fast financing in Saudi Arabia by offering financing solutions that meet ...,LinkedIn (via Google)
Skyview Smart Solutions,,https://sa.linkedin.com/company/skyview-smart-solutions,Riyadh,Saudi Arabia,IT & Software,"المواقع الجغرافية. رئيسي. 4416, Ad Dammam Branch Road, Qurtubah, Riyadh, KSA, Saudi Arabia. ‏Riyadh, Saudi Arabia‏، ‏13244‏، ‏SA‏. احصل على اتجاهات السير. 529/ ...Read more",LinkedIn (via Google)
Global Cybersecurity Forum,,https://sa.linkedin.com/company/global-cybersecurity-forum,Riyadh,Saudi Arabia,IT & Software,Global Cybersecurity Forum. المجامع الفكرية. ‏Riyadh‏، ‏Riyadh‏ ‏٣٠٬١٤٧‏ ‏متابع‏. Scaling Cohesive Advancement in ...Read more,LinkedIn (via Google)
Hide Cyber Security,,https://www.linkedin.com/company/hidecybersecurity,Riyadh,Saudi Arabia,IT & Software,"Headquartered in Riyadh, KSA; though HIDE currently address the Kingdom's Cybersecurity needs, the founding member's vision and goal is to expand its ...Read more",LinkedIn (via Google)
Innovative Solutions SA,,https://www.linkedin.com/company/innovative-solutions-sa,Riyadh,Saudi Arabia,IT & Software,"... cybersecurity company in the GCC, established in 2003 and headquartered in Riyadh, with presence across Saudi Arabia ... cybersecurity expertise, IS has ...",LinkedIn (via Google)
Romuz,,https://www.linkedin.com/company/romuzcompany,Riyadh,Saudi Arabia,IT & Software,"We're #hiring a new Cybersecurity Consultant - GRC in Riyadh, Riyadh. ... Romuz | رمـــــــوز, Riyadh, Riyadh, Saudi Arabia · 10 1 Comment · Like Comment ...Read more",LinkedIn (via Google)
HABOOB,,https://www.linkedin.com/company/haboob-sa,Riyadh,Saudi Arabia,IT & Software,"Public Company. Founded: 2018. Specialties: Cybersecurity, Managed Security ... Riyadh, Saudi Arabia. Security Matterz. IT Services and IT Consulting. Show ...Read more",LinkedIn (via Google)
SITE سايت,,https://www.linkedin.com/company/sitesaudi,Riyadh,Saudi Arabia,IT & Software,"Hamad Binsalleeh. Cybersecurity Advisor, Cybersecurity… See all ... Riyadh, Riyadh. TAHAKOM. IT Services and IT Consulting. RIYADH, RIYADH. National ...Read more",LinkedIn (via Google)
Soor Cybersecurity,,https://sa.linkedin.com/company/soor-cybersecurity,Riyadh,Saudi Arabia,IT & Software,"... Saudi Arabia, provides comprehensive end ... Aman Solutions For Cybersecurity. الخدمات والاستشارات في مجال تكنولوجيا المعلومات. ‏Riyadh‏، ‏Riyadh‏ ...Read more",LinkedIn (via Google)
Security Matterz,,https://www.linkedin.com/company/security-matterz,Riyadh,Saudi Arabia,IT & Software,"Security Matterz is Saudi's top specialist IT Security organization, which has its headquarters in Riyadh, Saudi Arabia with branch offices throughout the ...Read more",LinkedIn (via Google)
